"","month","avg_mortgage_rate","avg_home_price","assumed_monthly_rent","monthly_mortgage_payment","monthly_fixed_expense","monthly_cost_of_owning","ownership_vs_renting_difference","ownership_vs_renting_status"
"72",Dec 1992,8.22,76464,509.76,515.552980496268,108.324,623.876980496268,-114.116980496268,"Rent"
"73",Jan 1993,8.022,76395,509.3,505.558377572706,108.22625,613.784627572706,-104.484627572706,"Rent"
"74",Feb 1993,7.718,76327,508.846666666667,490.616205200195,108.129916666667,598.746121866861,-89.8994552001946,"Rent"
"75",Mar 1993,7.502,76382,509.213333333333,480.76077177075,108.207833333333,588.968605104084,-79.7552717707503,"Rent"
"76",Apr 1993,7.47666666666667,76660,511.066666666667,481.314182702168,108.601666666667,589.915849368835,-78.849182702168,"Rent"
"77",May 1993,7.458,77030,513.533333333333,482.752189411067,109.125833333333,591.8780227444,-78.3446894110665,"Rent"
"78",Jun 1993,7.434,77516,516.773333333333,484.653787628181,109.814333333333,594.468120961514,-77.694787628181,"Rent"
"79",Jul 1993,7.22833333333333,77885,519.233333333333,477.151996902721,110.337083333333,587.489080236054,-68.2557469027208,"Rent"
"80",Aug 1993,7.14,78131,520.873333333333,474.456854800221,110.685583333333,585.142438133554,-64.2691048002208,"Rent"
"81",Sep 1993,6.926,78198,521.32,464.735491749822,110.7805,575.515991749822,-54.1959917498224,"Rent"
"82",Oct 1993,6.834,78172,521.146666666667,460.25517302479,110.743666666667,570.998839691456,-49.8521730247897,"Rent"
"83",Nov 1993,7.096,78170,521.133333333333,472.604906047006,110.740833333333,583.34573938034,-62.2124060470063,"Rent"
"84",Dec 1993,7.195,78113,520.753333333333,476.961718936859,110.660083333333,587.621802270192,-66.8684689368587,"Rent"
"85",Jan 1994,7.074,78198,521.32,471.730794381511,110.7805,582.511294381511,-61.1912943815113,"Rent"
"86",Feb 1994,7.116,78204,521.36,473.759871919938,110.789,584.548871919938,-63.1888719199383,"Rent"
"87",Mar 1994,7.604,78349,522.326666666667,498.076115314101,110.994416666667,609.070531980767,-86.7438653141006,"Rent"
"88",Apr 1994,8.316,78701,524.673333333334,535.418922535928,111.493083333333,646.912005869262,-122.238672535928,"Rent"
"89",May 1994,8.542,79208,528.053333333333,550.260214667683,112.211333333333,662.471548001016,-134.418214667683,"Rent"
"90",Jun 1994,8.424,79701,531.34,547.68966422507,112.90975,660.59941422507,-129.259414225069,"Rent"
"91",Jul 1994,8.614,80063,533.753333333333,559.885774277422,113.422583333333,673.308357610755,-139.555024277422,"Rent"
"92",Aug 1994,8.524,80317,535.446666666667,557.04138422396,113.782416666667,670.823800890627,-135.37713422396,"Rent"
"93",Sep 1994,8.62666666666667,80340,535.6,562.474390993787,113.815,676.289390993787,-140.689390993787,"Rent"
"94",Oct 1994,8.904,80304,535.36,576.544421812127,113.764,690.308421812127,-154.948421812127,"Rent"
"95",Nov 1994,9.142,80170,534.466666666667,587.946576267112,113.574166666667,701.520742933779,-167.054076267112,"Rent"
"96",Dec 1994,9.20666666666667,80079,533.86,590.649415916607,113.44525,704.094665916607,-170.234665916607,"Rent"
"97",Jan 1995,9.154,80027,533.513333333333,587.522379882542,113.371583333333,700.893963215875,-167.380629882542,"Rent"
"98",Feb 1995,8.888,79992,533.28,573.478115004536,113.322,686.800115004536,-153.520115004536,"Rent"
"99",Mar 1995,8.50666666666667,80078,533.853333333333,554.498032791345,113.443833333333,667.941866124678,-134.088532791345,"Rent"
"100",Apr 1995,8.332,80369,535.793333333333,547.582244488782,113.856083333333,661.438327822115,-125.644994488782,"Rent"
"101",May 1995,8.016,80691,537.94,533.684016031859,114.31225,647.996266031859,-110.056266031859,"Rent"
"102",Jun 1995,7.61333333333333,81068,540.453333333333,515.829370535298,114.846333333333,630.675703868632,-90.2223705352983,"Rent"
"103",Jul 1995,7.592,81412,542.746666666667,516.943802967585,115.333666666667,632.277469634252,-89.5308029675851,"Rent"
"104",Aug 1995,7.846,81655,544.366666666667,531.371358588599,115.677916666667,647.049275255266,-102.682608588599,"Rent"
"105",Sep 1995,7.636,81739,544.926666666667,521.245963141644,115.796916666667,637.042879808311,-92.116213141644,"Rent"
"106",Oct 1995,7.504,81727,544.846666666667,514.503818144012,115.779916666667,630.283734810679,-85.4370681440122,"Rent"
"107",Nov 1995,7.392,81631,544.206666666667,508.276010721144,115.643916666667,623.919927387811,-79.7132607211445,"Rent"
"108",Dec 1995,7.2,81514,543.426666666667,497.976678958778,115.478166666667,613.454845625445,-70.0281789587781,"Rent"
"109",Jan 1996,7.046,81427,542.846666666667,489.828378519891,115.354916666667,605.183295186558,-62.3366285198911,"Rent"
"110",Feb 1996,7.06,81400,542.666666666667,490.356243611817,115.316666666667,605.672910278484,-63.0062436118175,"Rent"
"111",Mar 1996,7.624,81665,544.433333333333,520.16722667049,115.692083333333,635.859310003824,-91.4259766704905,"Rent"
"112",Apr 1996,7.878,82125,547.5,536.070830857192,116.34375,652.414580857192,-104.914580857192,"Rent"
"113",May 1996,8.045,82602,550.68,547.827722190283,117.0195,664.847222190283,-114.167222190283,"Rent"
"114",Jun 1996,8.262,83049,553.66,562.158137009857,117.65275,679.810887009857,-126.150887009857,"Rent"
"115",Jul 1996,8.254,83419,556.126666666667,564.240313436242,118.176916666667,682.417230102909,-126.290563436242,"Rent"
"116",Aug 1996,8.03333333333333,83645,557.633333333333,554.131957520694,118.497083333333,672.629040854028,-114.995707520694,"Rent"
"117",Sep 1996,8.202,83702,558.013333333333,563.40263725343,118.577833333333,681.980470586764,-123.96713725343,"Rent"
